Location,"Project Title","Federal Contribution",Note
Airdrie,"Veterans Boulevard upgraded",2670910,
Aldersyde,"Highway 2 Rehabilitation from north of Highway 547 to north of Highway 2A (S)",,"$175 million has been committed to date to the province of Alberta for initiatives funded under Provincial-Territorial Base Fund."
Alix,"Major Improvements - Village of Alix",823416,
Alliance,"Highway 602 Improvements",170132,
Arrowwood,"Sanitary Lagoon Expansion",616667,
Arrowwood,"Infrastructure Study",7218,
"Aspen Beach Provincial Park","Aspen Beach Provincial Park Shower Building Upgrade",75000,
Athabasca,"Upgrading of the Wastewater Lagoon",553668,
Athabasca,"Alberta-Pacific Forest Industries Inc. (Al-Pac) - Grassland connectors, Athabasca",3000000,
Banff,"Banff Centre for Creativity and Innovation (KCCI)",15000000,
Barrhead,"46th Street Water and Wastewater System Upgrades",781062,
Barrhead,"48th Avenue Sanitation and Water - Barrhead",629305,
Barrhead,"New Sewage Pumping Station",325124,
"Barrhead No. 11","Correction Line Upgrading",2999743,
Bashaw,"Resurfacing Highway 21 from South Bashaw to Highway 53",2546278,
Bashaw,"Watermain Replacement and Insulation",211917,
Bashaw,"Infrastructure Upgrading",594266,
Beaumont,"Street and avenue upgrade",3000000,
Bellevue,"Residential Street Infrastructure Upgrades - 208th Street",255900,
"Benalto, Lousana","Hamlets of Benalto and Lousana wastewater storage and treatment upgrades",838168,
Bentley,"Roads Program and Storm Water Management",1625400,
Berwyn,"Water treatment plant upgrade - Berwyn",107000,
"Big Horn to Canmore","Highway 1 - Rehabilitation East of Banff Park, East of the Kananaskis River",1742038,
"Big Lakes","Drinking Water System and Sewer Expansion",1176233,
"Big Lakes","Road Resurfacing on Highway 679",1294611,
"Birch Hills","Resurfacing Highway 49",1667542,
"Bittern Lake","Resurfacing Highway 13",2478953,
"Black Diamond","Water and Wastewater Service Improvements",247690,
"Black Diamond","Highway 22 Rehabilitation in the Town of Black Diamond",,"$175 million has been committed to date to the province of Alberta for initiatives funded under Provincial-Territorial Base Fund."
Blackfalds,"Upgrade of Blackfalds Sewage Pumping Station",1582700,
Blairmore,"Water and Sewer Replacement in the West End of Blairmore",641380,
Bonnyville,"45th Avenue Rehabilitation",1131333,
Bonnyville,"53A Street Infrastructure Replacement Project",418333,
Bonnyville,"Bridge on Highway 892",411898,
Bonnyville,"Resurfacing Highway 659",1516341,
"Bonnyville No. 87","Local Road Improvements",2508333,
"Bow Island","Watermain Loop on 4th Street East",117467,
