Location,"Project Title","Federal Contribution",Note
"100 Mile House","Water Treatment Plant Upgrade",124000,
"100 Mile House","Highway 97 - Stormy Road North",1030643,
"100 Mile House","Highway 97: Bullock Lake Rd South ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"150 Mile House","Highway 97: 148 Mile to Likely Rd ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Abbotsford,"Road Work on Norrish Creek Forest Service Road",67500,
Abbotsford,"Abbotsford - Clearbrook Interchange Reconstruction",8333333,
Abbotsford,"Abbotsford - McCallum Road Interchange Upgrade",8333333,
Abbotsford,"Abbotsford Airport - Parallel Taxiway and Apron Widening",10000000,
Abbotsford,"Abbotsford Discovery Trail",469913,
Abbotsford,"Highway 1 Resurfacing - 264th Street to Vedder Canal Road",900000,
Abbotsford,"Major upgrades to Highway 11/Vye Road",8330000,
Agassiz,"Highway 9 and Yale Road East Noise Barrier",480000,
Agassiz,"Kent - Hammersley Pump Station Upgrade: Floodbox Construction",165000,
Alberni-Clayoquot,"Water System Upgrades",66667,
"Alert Bay","Alert Bay Road Upgrade",145000,
"Alert Bay","Larch Street upgrades",55000,
"Alert Bay","Alert Bay Sewer Upgrade Phase 3-5",263231,
Anmore,"Water system renewal and upgrades",178428,
Armstrong,"Highway 97A - Larking Road to Crozier Road",12130000,
Armstrong,"Highway 97A: Pleasant Valley to Landsdowne",6660000,
Ashcroft,"Highway 1 - Oregan Jack, 1 Kilometre South of Junction Highway 97C",875010,
Barriere,"Water Infrastructure Upgrades",262893,
Barriere,"Community Park Improvement",166667,
Barriere,"Community Park Multi-Use Pathway",27000,
"Between Barrier and Chase","Upgrades to Adams West Forest Service Road",500000,
"Between Kootenay Lake and Kimberley","Replacing Gray Creek Forest Service Road Bridges",19774,
"Blue River","Blue River Community Water System Upgrade",388625,
"Boston Bar","Highway 1 - Anderson River Bridge no. 552",1800000,
"Bowen Island","Snug Cove sewer treatment facility expansion",584059,
"Bridal Falls","Bridal Falls Electoral Area D Integrated Water System",908666,
"Britannia Beach","Upgrading the British Columbia Museum of Mining",1000000,
"British Columbia","British Columbia Northwest Transmission Line",130000000,
Burnaby,"Water Infrastructure Replacement Program",2470000,
"Burns Lake","Renewal and Enhancement of Cultural and Recreational Infrastructure",113993,
"Burns Lake","Ridler Forest Service Road Construction",119000,
"Burns Lake","Highway 16: Priestly Station ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Campbell River","Pedestrian Crossings along Highway 19A",28000,
"Campbell River","Penfield West Linear Park",137142,
"Campbell River","South Island Highway Improvement Project - Phase 1",4380250,
"Campbell River","Campbell River - Passenger Walkway",150000,
"Campbell River","Highway 19 - Mohun Bridge no. 1515 and Lukwa River Bridge no. 2595",330000,
"Campbell River","Campbell River Airport runway extension",2777083,
"Campbell River area","Bridge Replacements on Rock Bay Forest Service Road",175000,
"Canal Flats","Headwaters Walkway",101333,
"Canim Lake","Canim Lake Water System",172543,
"Capital Regional District / District régional de la capitale","Wastewater treatment study",3333333,
Cariboo,"108 Mile Water Reservoir Replacement",367000,
Cariboo,"Horse Lake Water System",359182,
Cariboo,"108 Mile Ranch Water System",981118,
Cassidy,"Highway 1 Median Divider and Beck Road Intersection Improvements",405000,
Cassidy,"Nanaimo Airport improvement project - Phase 2",3456456,
Castelgar,"5th Street and 7th Avenue Walkways",230500,
Castlegar,"North Lagoon Berm Armouring",133666,
"Cathedral Park, Keromeos Area","Bridge Replacement on Ashnola Forest Service Road",67000,
"Central Kootenay","West Kootenay/Arrow Zone Base",913500,
"Central Kootenay","Castlegar Air Tanker Base",605500,
"Central Kootenay","Drinking water infrastructure upgrades",1460651,
"Central Okanagan Regional District","Wastewater Treatment Plant - Phase III",2459053,
"Central Saanich","East Saanich Road Renewal",2333333,
Chase,"Water Supply and Treatment Upgrade",2270959,
Chase,"Sewage Treatment Plant Upgrades ",522666,
Chetwynd,"53rd Avenue SE Road Work",198873,
Chetwynd,"Highway 97: Bennett Creek to Link Creek ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Chetwynd,"Improved wastewater infrastructure",1496127,
Chilliwack,"Lickman Road - Phase 2",450000,
Chilliwack,"Replacement of Sanitary Sewers",1266666,
Chilliwack,"South Sumas Road Sidewalk Project",13751,
Chilliwack,"Bernard Avenue Sidewalk Project",11250,
Chilliwack,"Hamilton Street Sidewalk Project",17625,
Chilliwack,"Highway 1 Median Cable Barrier",450000,
Chilliwack,"Improvements to Nahatlatch Forest Service Road",225000,
Chilliwack,"Keith Wilson Road Sidewalk Project",8757,
Chilliwack,"East dyke upgrades, Greyell Section",388633,
Chilliwack,"West dyke upgrades - Left bank",948115,
Chilliwack,"Collinson Pump Station Upgrade",833333,
Chilliwack,"Cultus Lake - Frosst Creek Sediment Basin Upgrades",124966,
Chilliwack,"Replacement of Vedder Bridge",4187916,
"Chilliwack Valley","Liumchen Creek Forest Service Road",157500,
"Chilliwack Valley","Improvements to Chilliwack Bench Forest Service Road",125000,
"Christina Lake","Highway 3 - Paulson Bridge to Avalanche Gate",1125000,
Clanwilliam,"Highway 1: Clanwilliam Bridge",14000000,
Clinton,"Lebourdais Avenue Improvements",187500,
Clinton,"Highway 97: 59 Mile North ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Clinton,"Highway 97: Cargyle Curves ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Cobble Hill","Highway 1 Roadside Barrier Upgrade",100000,
Coldstream,"Park Development",187500,
Coldstream,"Road Connections to Highway 97",2307139,
Comox,"Guthrie Road Bicycle Lane Extensions",24675,
Comox,"Knight Road Sanitary Sewer Trunks",270385,
Comox-Strathcona,"Farnham Road Bridge Deck Replacement",32500,
Coquitlam,"King Edward Street Improvements",2466667,
Coquitlam,"Schoolhouse Street Improvements",2400000,
Coquitlam,"Whiting-Westview Bike Route",29531,
Coquitlam,"Coquitlam - Lougheed Highway",6166666,
Coquitlam,"Coquitlam - Southwest Coquitlam Sewer System Improvements",416666,
Courtenay,"Native Sons Hall",644566,
Courtenay,"Arden Trunk Sewer",500000,
Courtenay,"Highway 19A - 17th Street Bridge Right Turn Lane",650000,
"Cowichan Station/Shawnigan Village","Historic Kinsol trestle bridge rehabilitation",1885366,
Cranbrook,"Waste Water Capacity Improvements",4815000,
Cranbrook,"Fibre optic broadband infrastructure development",750000,
Cranbrook,"St. Mary's Wycliffe Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Creston,"Creston LocalMotion",58725,
Creston,"Upgrades to the Kootenay River dike",159060,
Creston,"Wastewater Treatment Plant Improvements",1570000,
Creston,"Wastewater Treatment Plant Improvements",833333,
Cumberland,"Wastewater Lagoon System Upgrading",166667,
"Dawson Creek","92nd Avenue Storm Water Drainage Upgrades",257333,
"Dawson Creek","Community Sewer System Construction - Harper and Imperial Subdivisions",589283,
"Dawson Creek","Highway 97 Resurfacing - Junction Highway 2 to Kiskatinaw River bridge",1550000,
"Dawson Creek","Calvin Kruk Centre for the Arts",3199721,
"Dawson Creek","Boundary Road (Oil and Gas) 2 ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Dawson Creek","Highway 97: 12 Mile Passing Lane ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Dawson Creek","Swan Lake Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Dawson Creek","Zone 1 Potable Water Reservoir Construction",1666666,
Delta,"Oliver Pump Station Upgrade",1346666,
Delta,"Vancouver Landfill - Pump Station Upgrades",466700,
Delta,"Vancouver Landfill - Water Line Extension",333300,
Delta,"82nd Avenue Upgrade - Phase 3",1000000,
Delta,"Annacis Island Parkway Pavement Renewal",367219,
Delta,"Annacis Island Wastewater Treatment",3000000,
Delta,"Archives Building Conversion",225000,
Delta,"Highway 17 - 28th Avenue Overpass",2387500,
Delta,"Boundary Bay Dike Foreshore Protection: between 96th Street and 104th Street",87284,
Delta,"Boundary Bay Dike Foreshore Protection: Oliver Pump Station Area",107292,
Delta,"Boundary Bay dyke foreshore upgrade",183345,
Delta,"Upgrades to the Boundary Bay dike",69625,
Delta,"Westham Island dyke (Trim Road) upgrade",49173,
Delta,"Beach Grove Dike Foreshore Protection",333333,
"Delta, Richmond, Vancouver","Bridge Gates on Alex Fraser Bridge (Highway 91) and Oak Street Bridge (Highway 99)",262500,
Delta/Surrey,"Highway 99 Resurfacing",1350000,
Dewdney,"Highway 7L Resurfacing",1023000,
"District of Sechelt","Highway 101 Rehabilitation",97500,
"District of West Vancouver","Montizambert Creek Water Treatment Project",871700,
"District of West Vancouver","West Vancouver Artificial Turf Field",1500000,
Donald,"Highway 1: Donald bridge and overhead",30440000,
Duncan,"Centennial Park Project",137721,
Duncan,"Downtown Revitalization Project",200000,
Duncan,"Flood protection upgrades",1384349,
Duncan,"Koksilah Industrial Area Dike Construction",1377843,
Duncan,"North Cowichan & Duncan Dikes and Pump Station - Phase 3",2231039,
"Duncan, North Cowichan, Cowichan Tribes IR #1","Duncan - Cowichan Valley Flood Protection (Phase 1)",2583333,
"East Kootenay","West Fernie Water System",3470764,
"East of Barriere","North Barriere Bridge Replacement",28352,
"East of Oyama","Bridge Replacement on Aberdeen-Haddo Forest Service Road",59000,
"East of Quesnel & South of Wells","Upgrades to Cunningham-Babcock Forest Service Road",260000,
Elkford,"Boivin Creek Dike and Bank Improvements",793666,
Elko,"Highway 3: Elko Passing Lane ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Enderby,"Non-Residential Water Metering Program",166000,
Enderby,"Wastewater Infrastructure Upgrades",408333,
Enderby,"Enderby Intersection Improvements",1750000,
Enderby,"Highway 97A Resurfacing - East of Enderby to Springbend Road",850000,
Enderby,"Sports complex upgrade",166666,
Enderby,"Regent Avenue Lift Station Upgrade",333333,
Esquimalt,"Esquimalt New Sidewalk Construction Program",37155,
Esquimalt,"Upgrades to the Archie Browning Sports Centre",664000,
"Fairmont Hot Springs","Sidewalk Addition to Fairmont Bridge on Highway 93/95",203500,
"Fairmont Hot Springs","Fairmont Creek Debris Flow Mitigation - Phase 1",155776,
Falkland,"Highway 97 - Zinkmantle Passing Lane",2208000,
Falkland,"Highway 97 Resurfacing",1350000,
Falkland,"Falkland Water System Improvements - Phase 1",450666,
Fernie,"Highway 3 - Passing Lanes between Hosmer and Olson",3500000,
Fernie,"Highway 3 Resurfacing  - Elko Overhead to Fernie Ski Hill Road",2475000,
Fernie,"Northwest reservoir / James White well",2415240,
Fernie,"James White Well Project",826258,
"Fort Nelson","Raw Water Supply Energy Efficiency Upgrades",200000,
"Fort Nelson","Fort Nelson Community Trail Master Plan",301338,
"Fort Nelson","Highway 77 - Deasum Creek to the North West Territories Border",2048975,
"Fort Nelson","Fort Nelson recreation complex",5000000,
"Fort Nelson","Upgrades to Fort Nelson River Bridge",17500000,
"Fort St. James","Leo Creek Forest Service Road Realignment and Widening",337500,
"Fort St. James","Teardrop Forest Service Road Realignment (kilometre 3.5 to 63.5)",135000,
"Fort St. James, MacKenzie","Mackenzie-Fort St. James Connector",5250000,
"Fort St. James, Takla Landing","Driftwood Forest Service Road Relocation and Realignment",237750,
"Fort St. James/Yekoochie FN","Culvert Realignments on Cunningham Forest Service Road",80000,
"Fort St. John","North Lagoon Trunkmain",1426928,
"Fort St. John","Siphon Creek Road",2364558,
"Fort St. John","100th Avenue Expansion",1398595,
"Fort St. John","Building a Community Trail - 100th Avenue",247431,
"Fort St. John","City of Fort St. John - Enerplex site improvements",2505899,
"Fort St. John","Wastewater Treatment Plant Upgrades",842333,
"Fort St. John","Doig and Siphon Ck Rds (Oil and Gas) ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Fort St. John","Highway 97: Road 271 to Charlie Lake ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Fort St. John","Highway 97: Taylor Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Fort St. John Area","North Peace Side Road Improvements - Phase 2",1897628,
"Fraser Lake","Arena Upgrades - Fraser Lake",146972,
"Fraser Lake","Hatzic East Water System ",469541,
"Fraser Valley","Upgrades to the Hope Arena",187500,
"Fraser Valley","Parkview Water System Upgrades ",63250,
"Fraser-Fort George","Fire Rescue Hall Construction Project",200000,
"Galiano Island","Galiano Island Resurfacing",480000,
"Gold River","Well Redevelopment and Rehabilitation",85000,
"Gold River","Arena Refrigeration Plant Upgrade",150000,
"Gold River","Highway 28 Resurfacing - Western Mine Road to Argonaut Road",450000,
Golden,"Highway 1 Resurfacing - Blaeberry Bridge East to Golden West Approach",1464648,
Golden,"Kicking Horse Canyon - Brake Check to Yoho",31850000,
Golden,"Kicking Horse Canyon - Golden Hill to West Portal",32350000,
"Grand Forks","Pathways and Bike Lanes Construction",356000,
"Grand Forks","Wastewater Treatment Plant Ultra-Violet Disinfection ",153333,
Granisle,"Upgrading the Granisle Cutoff Forest Service Road",230000,
"Harrison Hot Springs","Memorial Hall Renovations",200000,
"Harrison Hot Springs","Highway 7 Harrison River Moveable Bridge Repair",115000,
"Harrison Hot Springs","Miami River Dike Pump Station Replacement",573600,
Hatzic,"Mission - Hatzic Valley Pumping Station Upgrade",208334,
"Hatzic Prairie","Hatzic Prairie Water System Extension",492800,
Hazelton,"Storm Sewer, Street and Sidewalk Renewal",200000,
Hazelton,"Hazelton - Skeena River Dike Erosion Protection Upgrade",116843,
"Heffley Creek","Resurfacing of Highway 5",1540070,
"Highway 97","Highway 97: Hinche Road to 150 Mile House ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Hope,"Resurfacing of Ottomite Bridge",550000,
Hope,"Highway 1 - Lake of the Woods Left Turn Lane",650000,
Hope,"Highway 1 - Silverhope East and Silverhope West Overpasses",370500,
Hope,"Highway 1 Resurfacing",1214000,
Hope,"Highway 3 - Replacement of Cedar Creek bridges #1 and #2",2683961,
Hope,"Kawkawa Lake and Memorial Park - Upgrades",83745,
Hope,"Hope - Kawkawa Lake Road Bridge Replacement",3345833,
Hope,"Silverhope Creek riprap bank protection",50716,
Hope,"Highway 5: Hope to Portia Bridge ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Hope,"Wastewater Treatment Plant Outfall Protection",153720,
"Hope/Bridal Falls","Highway 1: Hope to Bridal Falls ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Horseshoe Bay","Horseshoe Bay - Berth 3 Ramp coating",214984,
Houston,"Well Water No. 1 - Backup Power",80043,
Houston,"Highway 16 - Truck Lanes",195554,
Houston,"Houston Walking, Biking, Cycling Circle Network",131250,
"Hudson's Hope","Arena Heat Recovery",108755,
"Hudson's Hope","Beryl Prairie Road (Oil and Gas) ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Hwy 1","Highway 1: 21st Street and Taylor Way Westbound Overpasses ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Hwy 16","Highway 16: Loos Road ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Hwy 3A","Highway 3A: Birch Road to Boswell",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Hwy 5","Highway 5: North Thompson Passing Lane ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Hwy 97","Highway 97/6: 25th Avenue Intersection ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
"Hwy 97","Highway 97: Wright Creek ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Invermere,"Westside Pathway System",99483,
Invermere,"Arena Upgrade - Invermere",187500,
"Jones Lake Rural Residences, Chilliwack","Road Work on Jones Lake Road",67500,
Kamloops,"Singh Street Multi-Use Pathway",91466,
Kamloops,"Highway 1 Resurfacing",625000,
Kamloops,"Kamloops Wastewater Treatment Plant upgrade",7100000,
Kamloops,"Rayleigh slo-pitch park - Phase 1",3263333,
Kamloops,"Westsyde Riverbank erosion protection",291666,
Kamloops,"Kamloops Transit System maintenance facility",4000000,
Kamloops,"North Thompson River Water Intake",3032000,
Kaslo,"Lakeview Trail",9975,
Kaslo,"City Hall Heating Retrofit",84333,
Kelowna,"Kelowna - Active Transportation Network",3833333,
Kelowna,"Kelowna - Mission Creek Bridge Project",5200000,
Kelowna,"Community Parks and Open Spaces Network",1047000,
Kelowna,"Gordon Drive Multi-Purpose Pathway Project",350000,
Kelowna,"Highway 33 - Walker Hill Climbing Lane",1802000,
Kelowna,"Water use pilot project",77000,
Kelowna,"Highway 97: Westside interchange",10977000,
Kelowna,"Kelowna Rapid Bus - Phase 2",10900000,
Kelowna,"Highway 97: Gordon and Highway 33 ",,"$175 million has been committed to date to the province of British Columbia for initiatives funded under Provincial-Territorial Base Fund."
Kelowna,"Expansion and upgrade of Highway 97",8500000,
Kelowna,"John Hindle Drive Extension Project (Phase 2)",3500000,
Kent,"McCaffrey Lift Station Improvements ",66666,
Keremeos,"Highway 3A - Yellow Lake Safety Improvements",3000000,
"Keremeous to Yellow Lake","Highway 3A Resurfacing",900971,
Kimberley,"Library - Environmental and Accessibility Upgrades",164417,
Kimberley,"Peak to Platzl Trail Improvements",60000,
