Location,"Project Title","Federal Contribution",Note
"Bay Bulls","Bay Bulls - Regional lifestyle",1369912,
"Bay de Verde","Upgrade Water System - Town of Bay de Verde",952566,
"Bay Roberts","Bay Roberts - Conception Bay Highway sewermain",541593,
"Bay Roberts","Bay Roberts - North Road lift station",812389,
"Bay Roberts","Water and Sewer - Town of Bay Roberts",955752,
"Bay Roberts","Water and Sewer - Town of Bay Roberts",796460,
"Bishop's Falls","Sewer Treatment Infrastructure - Town of Bishop's Falls",4396460,
Bonavista,"Upgrading and Repaving of Route 230 - Bonavista Highway",1500000,
"Cape St. George","Water System Extension - Town of Cape St. George",677965,
Cappahayden,"Upgrading and Repaving of Route 10 - Southern Shore Highway",1000000,
"Channel-Port aux Basques","Water and Sewer Upgrades and Roads",414159,
Charlottetown,"Water and sewer system upgrades ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
Clarenville,"Rehabilitation of the Trans-Canada Highway between Manitoba Drive and Thorburn Lake ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Come By Chance","Water Treatment Plant - Town of Come By Chance",367002,
"Comfort Cove-Newstead","Comfort Cove-Newstead Industrial Water System, Phases 4 and 5",414916,
"Conception Bay South","Sewage Treatment Plant - Phase 2 - Town of Conception Bay South",2007080,
"Conception Bay South","Storm sewer upgrade - Town of Conception Bay South",955752,
"Conception Bay South","Construction of new wastewater treatment plant ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Corner Brook","Corner Brook Water and Wastewater Infrastructure",1215080,
"Corner Brook","Widen Route 450, Corner Brook Industrial Access Road to Four Lanes",1000000,
"Corner Brook","Corner Brook - Georgetown Road sewer upgrades",191151,
"Corner Brook","Corner Brook - Station Road sanitary sewer upgrades",223009,
"Corner Brook","East Valley Road North Storm Sewer - Phases 1, 3 and 4",338973,
"Corner Brook","Storm sewer upgrades",541593,
"Corner Brook","Street improvements - City of Corner Brook",2644248,
"Corner Brook","Street Upgrading",382301,
"Corner Brook","Construction of divided highway from Massey Drive to Corner Brook industrial access road",5250000,
"Corner Brook","Rehabilitation of Trans-Canada Highway from Corner Brook Stream to Pinchgut Lake",2750000,
"Corner Brook","Rehabilitation of the Lewin Parkway ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Corner Brook","Street Improvements",318584,
"Cow Head","Construction of water treatment system ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Crabbes River","Rehabilitation of the Trans-Canada Highway from Crabbes River to River Brook",1230915,
"Daniel's Harbour","Upgrading and Repaving Sections of Route 430, Portland Creek to Daniel's Harbour",1500000,
"Daniel's Harbour","Construction of a new bypass road on Route 430 along the Northern peninsula Highway at Daniel's Harbour ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Daniel's Harbour","Rehabilitation of Route 430 between Daniel's Harbour and River of Ponds ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Deer Lake","Deer Lake Airport Runway Extension",3000000,
"Deer Lake","Deer Lake Water and Sewer System",560634,
"Deer Lake","Rehabilitation of the Trans-Canada Highway from Deer Lake towards Hampden intersection",2492975,
Englee,"Englee - Transmission main twinning",204722,
Ferryland,"Ferryland - Road upgrades",166032,
Fischells,"Fischells River Bridge Replacement",1979567,
Gander,"Gander Fire Hall Construction",1666667,
Gander,"Fraser Road",247078,
Gander,"Water and sewer/roads",1051366,
Gaskiers,"Upgrading and Repaving Sections of Route 90 Between Gaskiers and St. Vincent's",1500000,
"George's Point","Upgrading and Repaving Sections of Route 331, George's Point (Route 330) Towards Boyd's Cove (Route 340)",2100000,
Glovertown,"Main Street North and Bayview Heights Recapping",262832,
"Glovertown - Traytown","Replacement of E.S. Spencer Bridge over Terra Nova River",3250000,
Goobies,"Upgrading and Repaving a Section of Route 210, Burin Peninsula Highway",2000000,
"Grand Bank","Water and Sewer in Grand Bank City",264869,
"Grand Falls-Windsor","Regional water treatment plant upgrade - Town of Grand Falls-Windsor",254867,
"Grand Falls-Windsor","Street improvements",1115044,
"Grand Falls-Windsor","Rehabilitation of the Trans-Canada Highway from Grand Falls-Windsor to Badger",4000000,
"Grand Falls-Windsor","Rehabilitation of the Trans-Canada Highway between Grand Falls-Windsor and Badger ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Grand Falls?Windsor","Water and sewer system upgrades - Grand Falls-Windsor",1115044,
"Happy Valley-Goose Bay","Water and sewer - Town of Happy Valley-Goose Bay",477876,
"Happy Valley-Goose Bay","Water mains replacement - Town of Happy Valley-Goose Bay",477876,
"Happy Valley-Goose Bay","Air Terminal expansion ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Happy Valley-Goose Bay","Construction of a diversion at the Pinware River on Route 510 along the Trans Labrador Highway ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Happy Valley-Goose Bay","Phase 1B: widen and hard surface Trans Labrador Highway between Happy Valley-Goose Bay and Wabush ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Happy Valley-Goose Bay","Phase 1D: Continue to harden and wide-surface the Trans-Labrador Highway between Happy Valley-Goose Bay and Wabush ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Happy Valley-Goose Bay","The replacement of the Little Barachois River Bridge on the Trans Canada Highway ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Happy Valley-Goose Bay","Upgrades to the Trans Labrador Highway between Happy Valley-Goose Bay and Wabush ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
"Harbour Grace","Water and sewer system upgrades ",,"$175 million has been committed to date to the province of Newfoundland and Labrador for initiatives funded under Provincial-Territorial Base Fund."
