Location,Project Title,Federal Contribution,Note
Advocate,Cape Chignecto Provincial Park,150000,
Albert Bridge,Mira River Provincial Park,400000,
Albert Bridge,Mira River Provincial Park - Provision of Water and Electrical Services to Campsites,125000,
Alma,Granton Abercrombie Road - Minor Collector Highway,650250,
Amherst,New wastewater treatment facility,3643900,
Amherst,Robie Street Re-Construction,89693,
Amherst,Mill Street Water and Sewer Replacement,248345,
Annapolis,Highway 101 - from Annapolis/Digby County Line,270000,
Annapolis,Wastewater Management Upgrades,34311,
Annapolis,Local Road Rehabiliation ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
Annapolis,Town of Bridgetown - Centennial Drive Sewer Separation ,451090,
Annapolis,Bear River Wastewater System Extension,177601,
Annapolis County,Highway 101 Repaving,1215000,
Annapolis County,Watermain Replacements,54472,
Annapolis County,"Deep Brook sewage collection system, Phase 1",361287,
Annapolis Royal,St. Anthony and Drury Lane Safe Sidewalk Project,235819,
Annapolis Royal,"Water and sewer replacement - Ritchie Street, Grange Street and St. Patrick's Lane",341000,
Antigonish,Highway 104 Repaving,315000,
Antigonish,Highway 104 Repaving,1125000,
Antigonish,Route 245 - Minor Collector Highway,1116000,
Antigonish,Havre Boucher Waterwater Treatment and Collection System Upgrade,1435000,
Antigonish,Residential Water Metering Program,153000,
Antigonish,Antigonish Bypass - Phase 1 (Highway 104),25000000,
Antigonish County,Antigonish Bypass - Phase 2 (Highway 104),30000000,
Antigonish County,Heatherton Bridge Project,1800000,
Antigonish County,Lower South River Bridge,2475000,
Argyle,West Pubnico sewer upgrade project - Phase II,1500000,
Arichat,Arichat sewage pumping stations upgrade,250000,
Baddeck,Groundwater Supply - Village of Baddeck,1980112,
Belmont,Plains Road - Minor Collector Highway,391500,
Berwick,Commercial Street - Fire Hall Wastewater Renewal,252063,
Berwick,Kings Mutual Century Centre (Apple Dome),4000000,
Bible Hill,Sanitary and Storm Sewer Realignment,271807,
Bible Hill,Bible Hill Water System Extension,360400,
Bible Hill,Storm Sewer Realignment - Guest Drive,241667,
Bridgetown,Church Street Upgrade,350869,
Bridgewater,Inflow reduction program,767800,
Bridgewater,"Public service commission - Dam upgrades, Phase 1 and 2",906028,
Bridgewater,Construction of the Lunenburg County Lifestyle Centre,10178658,
Bridgewater,King St Water and Sewer Rehabilitation,444514,
Brooklyn,Brooklyn Sewer & Water - Phase IV,168500,
Caledonia,Road improvements on Trunk 8 southerly to Caledonia ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
Canning,New reservoir,264100,
Canning,Water Utility Line and Valve Upgrade,104797,
Canso,Treatment Plant Upgrade and Infiltration Control,96121,
Cape Breton,Alder Point Road Sewer Installation,65333,
Cape Breton,Church Street Sewers,128000,
Cape Breton,Henry Street Watermain and Storm Sewer Repairs,142000,
Cape Breton,Highway 125 Repaving,225000,
Cape Breton,Hinchey Avenue Sewer Rehabilitation,124333,
Cape Breton,Liberty Street and Mitchell Street Watermain and Sewer Repairs,91333,
Cape Breton,Memorial Drive Sewer Construction,112667,
Cape Breton,Police Headquarters - Identification Office and Crime Laboratory,150000,
Cape Breton,Pond Road - Phase 2,262667,
Cape Breton,Reeves Street Repairs (Phase 1) - Sydney,30000,
Cape Breton,Roundabout Construction and Ramp Modifications on Route 327,450000,
Cape Breton,Shore Road Watermain and Sewer Repairs,458000,
Cape Breton,Tometary Drive Storm Sewer,76667,
Cape Breton,Trunk 4 Repaving,1080000,
Cape Breton,Trunk 4 Repaving,1620000,
Cape Breton,Little Bras D'Or Bridge. Hwy 105 ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
Cape Breton,National Highway System Rehabilitation ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
Cape Breton,Pond Road - Phases I and II ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
Cape Breton,Road and sewer improvements on Brookside Street ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
Cape Breton,Road and sewer improvements on Bruce Street ,3702127.65,$174.0 million has been committed to date to the province of Nova Scotia for initiatives funded under Provincial-Territorial Base Fund.
