Location,Project Title,Federal Contribution,Note
Addington Highlands,County Road 41 Reconstruction (7.5 Kilometres),2681534,
Adelaide,Kerwood Fire Hall,200000,
Adelaide,Cuddy Drive Reconstruction,265000,
Adjala-Tosorontio,Resurfacing Concession Road 7,79101,
Adjala-Tosorontio,New Shelter for the Alliston District Humane Society,266667,
Adjala-Tosorontio,Pave Sideroad 30 - Adjala,45672,
Adjala-Tosorontio,Everett Reservoir Repairs,30525,
Adjala-Tosorontio,Replacement of Concession Road 7 Bridge,370239,
Admaston/Bromley Township,Admaston/Bromley - Expansion,104000,
Ajax,Replacement of Polybutylene Service Connections - Chatfield Drive,233333,
Ajax,Replacement of Polybutylene Service Connections - Garnett Drive and Muirfield Street,31573,
Ajax,Replacement of Polybutylene Service Connections - Hawkins Crescent and Cornwallis Court,77720,
Ajax,Replacement of Polybutylene Service Connections - Hillings Drive,28333,
Ajax,Replacement of Polybutylene Service Connections - Humphrey Drive and Pinehurst Avenue,101627,
Ajax,Replacement of Polybutylene Service Connections - Kipling Crescent and Pinehurst Avenue,81840,
Ajax,Replacement of Polybutylene Service Connections - Love Crescent and Athabasca Street,46573,
Ajax,Replacement of Polybutylene Service Connections - Millinton Crescent and McClure Court,130200,
Ajax,Replacement of Polybutylene Service Connections - Muirfield Street,32240,
Ajax,Replacement of Polybutylene Service Connections - Stockbridge Crescent,76667,
Ajax,Road Rehabilitation - Church Street,116667,
Ajax,Roadside Protection Improvements,3667,
Ajax,St. Francis de Sales Rehabilitation and Retrofit,852473,
Ajax,Replacement of Polybutylene Service Connections - Athabasca Street,37200,
Ajax,Replacement of Polybutylene Service Connections - Carnelly Crescent,110000,
Ajax,Reconstruction of Fairall Street,1106517,
Alberton,Alberton Fire Hall,62585,
Alberton,Rehabilitation and resurfacing of the Kehl-Domanski Road Loop,68403,
Alexandria,Park Street Sanitary Sewer Replacement,250000,
Alexandria,Alexandria Water System Upgrade,1140000,
Alexandria,Glengarry Registry Office - Alexandria,95780,
Alfred and Plantagenet,Presqu'�le Watermain Extension,355294,
Alfred-Plantagenet,Bolt Road Rehabilitation,380990,
Alfred-Plantagenet,Boundary Road Rehabilitation,296466,
Algoma-Manitoulin,Highway 17 Resurfacing - Algoma-Manitoulin District,6150000,
Algonquin Highlands,McClintock Sewage Lagoon Rehabilitation,50000,
Algonquin Highlands,Disaster Mitigation Program - Generators,75000,
Algonquin Highlands,Expansion to the Township of Algonquin Highlands Airport,1263167,
Alma,Construction of a Community Hall in Alma,520567,
Almonte,Construction of a mechanical sewage treatment plant and upgrade of pump station,9355518,
Almonte,Rehabilitation of MacLan Bridge,201236,
Alnwick/Haldimand,Shelter Valley Road Rehabilitation,343333,
Alvinston,Municipal Administration Building Accessibility,86166,
Alvinston,Upgrades to the wastewater treatment facility,322456,
Amaranth Station,Sand Storage Building,86711,
Amherstburg,Victoria Street Sewer Separation,310000,
Amherstburg,Dalhousie Street Reconstruction,666666,
Amherstburg,Construction of the Amherstburg multi-use recreation complex,7866888,
Amherstburg,Edgewater Sewage Diversion Project,2933333,
Armour Heights,Landfill Site Improvements,50000,
Armour Heights,Armour Heights Commercial Drive - Intersection modification and renewal,210000,
Armour Heights,Armour Heights Office Modification and Renewal,26664,
Armour Heights,Replacement of Leggetts Bridge,833333,
Armstrong,Improvements to community roads,27000,
Arnprior,Taxiway Reconstruction,33333,
Arnprior,Arnprior Library Expansion,225000,
Arnprior,Upgrade of the Water Pollution Control Centre,5330000,
Arran-Eldersie,Replacement of Existing Tara Water Standpipe,526740,
Arran-Elderslie,Forrester's Bridge,164000,
Ashfield-Colborne,Lucknow and District Firehall,375000,
Asphodel-Norwood,Upgrades to the Water System and the Installation of Water Meters,337000,
Asphodel-Norwood,Reconstruction of King Street,1145260,
Asphodel-Norwood,Norwood Water Treatment Plant Project,338716,
Athens,Athens Town Hall Rehabilitation,65000,
Atikokan,Municipal Civic Centre,106103,
Atikokan,Dunbar Heights Sidewalk Rehabilitation,46154,
Atikokan,Rehabilitation of Main Street,904374,
Atikokan,Rehabilitation of the Atikokan Municipal Airport,815562,
Augusta,Reconstruction of Concession Road #2,814815,
Aurora,Sheppard's Bush Residence Repairs,127500,
Aurora,Ada Johnson Park Washroom Building,83333,
Aurora,Energy Management and Building System Retrofits,246800,
Aurora,Construction of a trail network,108333,
Aurora,Rehabilitation of the sanitary sewer collection system,1580000,
Avening,Rehabilitation of Avening Bridge,500000,
Aylmer,Sanitary Sewer Crossings Reconstruction,166665,
Aylmer,Town Hall Basement Retrofit,78000,
Aylmer,Improvements to the 4th Avenue sewer,274500,
Baden,Expansion of the Wilmot Recreation Complex,3016110,
Bala,Bala Fire Station Renovation and Expansion,116666,
Baldwin,Township of Baldwin Landfill Closure,70666,
Baldwin,Hardwood Road Rehabilitation,150000,
Balmertown,Renewal of the Fifth Street Water Main and Road in Balmertown,706640,
Bancroft,Watermain,616477,
Barrie,"Road, Drainage and Other Infrastructure Improvements on Toronto Street, Dunlop Street and Mary Street",3281400,
Barrie,"Watermain Construction on Anne Street, Cundles Road, Kozlov Street and Heather Street",992700,
Barrie,Watermain Construction on Salem Road,506400,
Barrie,"Infrastructure Improvements on Boys Street and Donald Street, including Bunkers Creek and Kidd's Creek Culverts",1166700,
Barrie,Allandale Station Tunnel and Stairway,700000,
Barrie,Construction of a New Fire and Emergency Services Station and Headquarters,4260000,
Barrie,Construction of a Stormwater Management Pond and Improvements to the Operations Centre,1728000,
Barrie,Highway 400 - Innisfil Creek Bridge Rehabilitation,250000,
Barrie,Highway 400 - St. Vincent Bridge Rehabilitation,1500000,
Barry's Bay,Upgrading the Barry's Bay wastewater treatment plant,1338333,
Bayfield,Installation of a Water Distribution System in Bayfield,2318391,
Bayham,Calton Line Rehabilitation,686667,
Bayham,Carson Line Bridge,32400,
Beauchamp,McLean Road Upgrade,13200,
Beauchamp,Airport Road,19800,
Beaverton,"Reconstruction of Victoria Avenue, Beaverton",372322,
Beckwith,Lake Park Road Reconstruction,300178,
Beckwith,Beckwith Township and Town of Carleton Place Trail Development,480667,
Beckwith,Construction of an outdoor artificial turf field,429733,
Belle Vall�e,Construction of a multi-use building,128333,
Belleville,New Habitat for Humanity facility,366667,
Belleville,Dundas Street West Overpass Rehabilitation,666667,
Belleville,Expansion of the Belleville recreation and community centre,11666667,
Belleville,Rehabilitation of the sanitary and storm sewer,1543967,
Bergland,Moosebay Road Upgrade,41000,
Bewdley,Rehabilitation of Rice Lake Drive,1000000,
Billings,New Windows for Old Mill building,29150,
Black River-Matheson,Rehabilitation of Municipal Wells,20200,
