Location","Project Title","Federal Contribution,"Note"
Abercorn,"Wearing Course to Route 139 in Abercorn",1000000,
Acton Vale,"Program for the renewal of drinking water and wastewater pipes (PRECO)",789650,
Acton Vale,"Program for the renewal of drinking water and wastewater pipes (PRECO)",293850,
Acton Vale,"Reconfiguration of Acton Vale Arena",2111156,
Adstock,"Construction of a multipurpose centre in Adstock",1016308,
Albertville,"Wastewater treatment",366848,
Alma,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2158075,
Alma,"Program for the renewal of drinking water and wastewater pipes (PRECO)",915100,
Alma,"Renovation of the Langage Plus Artists Centre",368300,
Alma,"Construction of bicycle paths and pedestrian walkways in Saint-Coeur-de-Marie sector",172842,
Alma,"Construction of cyclist and pedestrian paths in the Saint-C?ur-de-Marie District",172842,
Alma,"Extension of by-pass track - Section 4",3056667,
Amqui,"Rebuilding of D'Auteuil Street in the Town of Amqui",1800000,
Amqui,"Road improvements to Highway 132",3250000,
Anjou,"Reconstruction of Highway 25/Yves Prévost overpass ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Asbestos,"Program for the renewal of drinking water and wastewater pipes (PRECO)",552005,
Audet,"Extension of the Sanitary Sewer System on Route 204",200355,
Baie-Comeau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",4343990,
Baie-Comeau,"Alcoa Arts and Culture Centre",3031700,
Baie-Comeau,"Community and sports centre (intergenerational centre)",424538,
Baie-Comeau,"Updating Water Treatment Plants in Baie-Comeau",19921500,
Baie-d'Urfé,"Construction of a multipurpose path on Surrey Street",433139,
Baie-d'Urfé,"Pedestrian and Bicycle Path in Baie-d'Urfé",214510,
Baie-du-Febvre,"Expansion of Théâtre Belcourt",1083000,
Baie-Saint-Paul,"Program for the renewal of drinking water and wastewater pipes (PRECO)",265170,
Baie-Saint-Paul,"Program for the renewal of drinking water and wastewater pipes (PRECO)",490225,
Baie-Sainte-Catherine,"Widening of Highway 138",2850000,
Baie-Trinité,"Pavement Reconstruction on route 138 in Baie-Trinité",2650000,
Baie-Trinité,"Upgrading of drinking water ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Batiscan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",59500,
Batiscan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",367500,
Batiscan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",149625,
Batiscan,"Program for the renewal of drinking water and wastewater pipes (PRECO)",428150,
Batiscan,"Well replacement",66990,
Beaconsfield,"Program for the renewal of drinking water and wastewater pipes (PRECO)",701250,
Beaconsfield,"Program for the renewal of drinking water and wastewater pipes (PRECO)",464700,
Beaconsfield,"Program for the renewal of drinking water and wastewater pipes (PRECO)",440350,
Beauce,"Highway 73/173 Phase 2",75000000,
Beauceville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",106600,
Beauceville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",64385,
Beauceville,"Renovating and Upgrading of the Beauceville Pool and Cultural Centre",812343,
Beauceville,"Wastewater treatment plant upgrades",623420,
Beauceville,"Pavement reinforcement on Highway 173",1100000,
Beaudry,"Highway 391 Improvements",1365000,
Beauharnois,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1351425,
Beauharnois,"Program for the renewal of drinking water and wastewater pipes (PRECO)",316680,
Beaumont,"Wastewater Treatment System Upgrades",1420520,
Beaumont,"Development Project, Vincennes Recreational Tourism Park",554475,
Beaupré,"Program for the renewal of drinking water and wastewater pipes (PRECO)",339760,
Beaupré,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Bécancour,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2020950,
Bedford,"Program for the renewal of drinking water and wastewater pipes (PRECO)",226435,
Bellechasse Regional County Municipality,"Improvements to the bicycle path",264294,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",151425,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",138600,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",289080,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",333630,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",78000,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",164850,
Beloeil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",165200,
Beloeil,"Development of a Recreational Tourism Hub in Old Beloeil",953972,
Berthierville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",610730,
Berthierville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",934245,
Berthierville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1000665,
Blainville,"Highway 117 Improvements",1565000,
Blainville,"Construction of wastewater infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Blue Sea,"Repairs to Blue Sea Road North in Blue Sea",835000,
Boileau,"Repairs to Saint-Rémi Road",69639,
Bois-Franc,"Expansion of the Donat-Hébert community centre",83517,
Bois-Franc,"Repairs to Parc-Industriel Road",522009,
Boisbriand,"Repairing and Surfacing of Highway 15",2125000,
Boisbriand,"Conversion of a soccer-football field into a regional park",774809,
