Location,Project Title,Federal Contribution,Note
Aberdeen,Aberdeen water pipeline installation,3095954,
Allan,Underground utilities construction,99787,
Aneroid,Water main replacement,4666,
Annaheim,Junction of Highway 5 to the Community of Annaheim,1250000,
Arm River,Construction of Rural Road 252,161770,
Asquith,Installation of a water feeder main and a sewer trunk main,219723,
Asquith,Water treatment plant upgrades - Asquith,655000,
Avonlea,Constructed wetland lagoon project,78833,
Balgonie,"Water supply, storage and treatment expansion",2529078,
Battleford,Water treatment plant and reservoir expansion,1587438,
Battleford-Wilbert,Highway 40 from Approximately 16 Kilometres West of Battleford to Wilbert,3748600,
Beaver River,Lagoon expansion,267216,
Beechy,Clay capping Park Road,42137,
Bethune,Water treatment plant expansion,86032,
Big River,Pickerel Point Road construction,164369,
Big River,Sewage Lift Station Generator and Force Main,200000,
Biggar,Installation of a main sewer line on McPhee Street,33628,
Biggar,Sewage treatment plant secondary sewage line,52392,
Birch Hills,Sewage lift station upgrades - Birch Hills,446666,
Bittern Creek - Highway 969,Highway 2 South of Bittern Creek to 5 Kilometres North of Junction Highway 969,1765050,
Blaine Lake,Water and Sewer on 1st Avenue Extension,70000,
Blucher,"Road Construction - Hot Mix Surfacing on Project No. 501, Class 4 Municipal Road",116667,
Borden,"Drinking water supply, treatment and distribution",546666,
Bredenbury,Water Treatment and Filtration System,275000,
Britannia,Greenstreet Road,378809,
Britannia No. 502,"Road Construction - Hot Mix Surfacing on Project No. 102 and Project 105 on class 4 Municipal Road, grid 684 in the Rural Municipality of Britannia No. 502",367544,
Brock,"Road Construction - Hot Mix Surfacing on Project No. 107, Class 4 Municipal Road",292867,
Brock,Road Construction - Municipality of Brock,411833,
Browning,"Road Construction - Grading on Project No. 454, Class 5 Municipal Road",142233,
Browning,"Road Construction - Grading on Project No. 458, Class 5 Municipal Road",71100,
Buckland,Replacement Bridge,155904,
Buffalo Narrows,Water Treatment Plant Upgrades - Northern,1699998,
Bulyea,Potable Water Cistern Expansion,19833,
Burstall,New Water Treatment Plant,587255,
Canora,Extension of the Canora Beach rural water pipeline,37986,
Carievale,New Well and Increased Storage Capacity,11000,
Carlyle,Water treatment plant and pipeline,1425000,
Carnduff,Water treatment plant building and reservoir expansion,359125,
Caronport to Mortlach,Highway 1 Caronport to East of Mortlach,1911650,
Carrot River,New Sewage Lift Station No. 3,100050,
Carrot River - Pasquia Regional Park,Highway 23 (Carrot River to Pasquia Regional Park),2684400,
Chaplin,Highway 1 Bridge Replacement Eastbound at Kilometre 1.16,560700,
Chaplin,Highway 1 Bridge Replacement Eastbound at Kilometre 1.77,776500,
Chaplin,Highway 1 Bridge Replacement Eastbound at Kilometre 2.3,523700,
Chaplin,Water Treatment System,451718,
Chitek Lake,Chitek Lake wastewater treatment system,334833,
Climax,Water treatment system upgrades - Climax,140783,
Codette,Sewage lift station upgrades - Codette,35000,
Cole Bay,Water Treatment Plant and Sewage Pumping Stations Upgrades - Northern,328332,
Corman Park,Road Construction - Corman Park,44995,
Coteau Beach,Clay capping of road,99492,
Creighton,Water and Sewer Main Replacement - Northern,378000,
Cudworth,Street Rehabilitation,158001,
Cudworth,Wakaw Lake regional lagoon expansion,444483,
Cupar,New Water Treatment Plant,1714000,
Cut Knife,Replacement of Highway 40 Bridge,592500,
Cymric,Road Construction - Sealed Granular Surfacing,379237,
Cymric,Road Construction of Rural Road 36,127878,
Dafoe,Waterworks upgrades - Dafoe,4331,
Dalmeny,Lift station construction,503333,
Davidson,Clay Capping and upgrading of road,114967,
Davidson,Road reconstruction and clay capping,91278,
Delisle,Replacement of a lift station and a force main,254000,
Delisle,Highway 7 twinning west of Saskatoon to Delisle,32000000,
Denare Beach,Sewage Treatment Plant Upgrade - Northern,734166,
Dorintosh,Lagoon upgrade,118000,
Duck Lake,Water reservoir expansion and water treatment plant upgrade,455568,
Dufferin,Road Construction of Rural Road 190,109800,
Dundurn,Rural potable water utility project,7072712,
Dundurn,Wastewater Lagoon / Forcemain and Collection System,3040333,
East of Cabri,Highway 32 East of Cabri,1322950,
Eatonia,Water main replacement,156231,
Edenwold,Rural water distribution system - Emerald Park,588000,
Edgeley,Edgeley water meters,4755,
Elbow,Looping of water mains,53541,
Eldon No. 471,"Road Construction - Hot mix Surfacing on Project No. 102, class 4 Municipal Road, Grid 684 in the Rural Municipality of Eldon No. 471",739854,
Englefeld,Water Treatment Plant Upgrade,80833,
Estevan,Bridge Construction in Estevan,283305,
Estevan,Events centre,5100000,
Estevan,Highway 39 Truck Bypass in Estevan,17000000,
Estevan,Repaving Highway 39 - Northwest of Estevan,4794321,
Estevan,"Highway 30 Twinning, from Estevan East urban limit to east of the Highway 18 junction",12509500,
Flaxcombe,Water treatment plant upgrades - Kindersley,163532,
Frenchman Butte,Road Construction of Rural Road 501,593236,
Frenchman Butte,Road Construction of Rural Road 501,17900,
Garden River No. 490,Replacement of Garden River bridge,166667,
Glen Bain,Bridge Replacement in Glen Bain,175000,
Glen Ewen to Oxbow,Highway 18 Glen Ewen to Oxbow,1177750,
Goodsoil,Goodsoil Wastewater,450167,
Grand Coulee,Water treatment plant expansion - Grand Coulee,347751,
Gravelbourg,Bridge Replacement in Gravelbourg,150000,
Gravelbourg,Gravelbourg Water Treatment Plant Upgrades - Phase 2,1014000,
Great Bend,Road Construction of Rural Road 405,219461,
Grenfell,Groundwater supply and treatment plant facilities upgrade,381333,
Grenfell,Water treatment plant upgrade - Grenfell,173333,
Gronlid - North Saskatchewan River,"Highway 6, 6 Kilometres North of Gronlid to South of the North Saskatchewan River",700000,
Gull Lake,Lagoon Expansion,145333,
Hague,Lagoon expansion,422810,
Hague,Water Distribution Upgrade,239741,
Heart's Hill No. 352,Road Construction - Hot mix Surfacing along a Municipal Road in Heart's Hill,952333,
Hepburn,Waterworks construction - Hepburn,2544287,
Herbert,Water Treatment Plant Upgrade,436666,
Herbert - Rush Lake,Highway 1 East of Herbert to Rush Lake,1697250,
Highway 11 (Central and Northern Saskatchewan),Twinning of Highway 11: Saskatoon-Prince Albert,62000000,
Hillsdale,Road Construction - Projects 153 and 151,1041693,
Hillsdale No. 440,Road Construction and Rehabilitation,747785,
Humboldt,8th Avenue (Highway 5 connector) in Humboldt,295000,
Humboldt,High school retrofit,973200,
Humboldt,Water main replacement,166750,
Hyas,Hyas Water Treatment Plant,112793,
�le-�-la-Crosse,Sewage Lagoon Expansion - Northern,1075499,
