Location,Project Title,Federal Contribution,Note
Beaver Creek,Beaver Creek Road Upgrades,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Burwash,Burwash Well Head Phase 2 (Geothermal) ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Burwash,Burwash Road Improvements - Grave Road and Sedata Road ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Burwash,Burwash Well Head Protection ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Campbell Highway,Campbell Highway km 10-190 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Campbell Highway,Campbell Highway km 110-210 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carcross,Carcross Water System Treatment Upgrade Phase 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carcross,Carcross Water System Treatment Upgrade ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carcross,Carcross Bituminous Surface Treatment Streets/Highway Turning Lanes ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carmacks,Carmacks to Stewart Transmission Line - Carmacks to Pelly Crossing,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carmacks,Freegold Road Upgrades,34586,
Carmacks,Carmacks Sewage Treatment and Collection ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carmacks,Carmacks Wastewater Collection System Improvements (Phase 1) ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carmacks,Carmacks road upgrades/resurfacing,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Carmacks�,Nordenskjold Bridge Rehabilitation,1150000,
Champagne and Aishihik,Champagne and Aishihik First Nations (CAFN) ? Water Truck Shop ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Dawson,Dawson Sustainable Utilities and District Heating System Phase 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Dawson,Dawson Sewage Treatment Plant ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Dawson,Dawson Water Study ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Dawson,Dawson Sustainable Utilities and District Heating System Phase 1 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Dawson City,Top of the World Highway Surface Improvements Phase 2,150000,
Dawson City,Top of the World Highway Upgrades,750000,
Dawson City�,Dawson Gold Field Road Upgrades,48239,
Deep Creek,Deep Creek Water (Ta'an Kwach'an Council) ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Destruction Bay,Destruction Bay repairs to sanitary collection system ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Faro,Faro Water and Sewer Pipe Replacement Phase 1 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Faro,Faro Water and Sewage Pipe Replacement Phase 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Faro,Faro Pump house ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Flat Creek,Flat Creek Bridge Deck Rehabilitation ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Grizzly Valley Area,Grizzly Valley Area ? Transmission Line upgrade and second access ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Haines Junction,Haines Junction Water ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Haines Junction,Haines Junction Water Reservoir and Pump System ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Highway 1 & 2,Pavement Rehab ? Highways 1 & 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Klondike Highway,Pelly Bridge Corrosion Protection ? Klondike Highway ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Marsh Lake,New Marsh Lake Intake & Commercial Fill System ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Mayo,Yukon Green Energy Legacy Project,71000000,
Mayo,Mayo New Community Well and Treatment ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Mayo,"Mayo - Water, Sewer, Road Upgrades Phase I ",2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Mayo,Mayo Water Upgrades ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Mayo�,South McQuesten Road Upgrades,49335,
Mendenhall,Mendenhall Community Water Supply ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Mount Lorne,Annie Lake Road,95414,
Old Crow,Old Crow Water Supply Upgrades ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Old Crow,Road Upgrade ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Old Crow,Old Crow Road Upgrade Phase 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Old Crow,Old Crow Upgrade to Solid Waste Facility ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Pelly Crossing,Pelly Crossing Roads,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Rock Creek,Rock Creek Water ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Ross River,Ross River Community Road Upgrades Phase 1 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Ross River,Ross River Public Works Building ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Ross River,Ross River System Upgrades & Arsenic Treatment ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Ross River,Ross River Roads (Phase 2),2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Selkirk,Selkirk Public Works Shop ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Tagish,Tagish Taku Subdivision Public Fill Point ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin,Teslin Wastewater System Upgrades Phase I ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin,Teslin Road and Upgrades ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin,Teslin Phase 2 ? Arsenic Treatment ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin,New Water Treatment System in Teslin phase 3,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin,Teslin Tlingit Council Area Road Upgrades,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin,Nisutlin Bay Bridge (Phase 1),2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Teslin�,Deadman Creek Bridge Rehabilitation,562500,
Upper Liard,Upper Liard Bridge,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Valleyview,Valleyview Water Reservoir Expansion (Phase 1) ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Various,Arsenic Treatment Upgrades to 2011 Regulatory Requirements ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Various,Transfer Stations. Recycling depots. composting and chippers equipment at Landfills ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Various,Scoping/Design/Estimating Future Year Projects ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Watson Lake,Albert Creek Bridge Rehabilitation,431273,
Watson Lake,Watson Lake Water and Sewer Pipe Replacement and Wet Wall Phase 1 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Watson Lake,Watson Lake Water and Sewer Pipe Replacement Phase 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Watson Lake,Watson Lake Water/Wastewater Phase 3,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Watson Lake�,Nahanni Range Road Upgrades,44280,
Whitehorse,Fish and Jackson Lake Roads,125000,
Whitehorse,Guild Hall Facility Upgrades,324000,
Whitehorse,Whitehorse Intersection Upgrade-Alaska Hwy and 2 Mile Hill ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Whitehorse Marwell Water and Sewer Upgrades Phase 1 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Atlin Road Reconstruction km. 12-22 and 38-41 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Whitehorse Asphalt Overlay Phase 1 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Atlin Road Upgrades Phase 2 ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Whitehorse Black Street Reconstruction,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Whitehorse Robert Campbell Bridge Widening,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Whitehorse Range Road (Phase 1),2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse,Whitehorse Hospital Road/Lewes Blvd Upgrade,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Whitehorse�,Burma Road Reconstruction,32836,
Whitehorse�,Gentian Lane Reconstruction,42882,
Whitehorse�,Kusawa Lake Road Reconstruction,21000,
Yukon,Materials Recycling/Sorting Facility (Phase 1) ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Yukon,Solid Waste Management Systems,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
Yukon,LSCFN Geothermal Energy Development ,2540845.07,$180.4 million has been committed to date to the territory of Yukon for initiatives funded under Provincial-Territorial Base Fund.
